8‏/5‏/2023, 11:17:37 م | ERROR | Unhandled rejection | DATA: {"reason":{"code":"ERR_HTTP_HEADERS_SENT"},"promise":{}} | 
8‏/5‏/2023, 11:18:32 م | ERROR | Unhandled rejection | DATA: {"reason":{"code":"ERR_HTTP_HEADERS_SENT"},"promise":{}} | 
8‏/5‏/2023, 11:19:06 م | ERROR | Unhandled rejection | DATA: {"reason":{"code":"ERR_HTTP_HEADERS_SENT"},"promise":{}} | 
8‏/5‏/2023, 11:20:05 م | ERROR | Unhandled rejection | DATA: {"reason":{"code":"ERR_HTTP_HEADERS_SENT"},"promise":{}} | 
8‏/5‏/2023, 11:20:24 م | ERROR | Unhandled rejection | DATA: {"reason":{"code":"ERR_HTTP_HEADERS_SENT"},"promise":{}} | 
8‏/5‏/2023, 11:28:08 م | ERROR | Unhandled rejection | DATA: {"reason":{"code":"ERR_HTTP_HEADERS_SENT"},"promise":{}} | 
8‏/5‏/2023, 11:28:14 م | ERROR | Unhandled rejection | DATA: {"reason":{"code":"ERR_HTTP_HEADERS_SENT"},"promise":{}} | 
8‏/5‏/2023, 11:29:49 م | ERROR | Unhandled rejection | DATA: {"reason":{"code":"ERR_HTTP_HEADERS_SENT"},"promise":{}} | 
8‏/5‏/2023, 11:29:50 م | ERROR | Unhandled rejection | DATA: {"reason":{"code":"ERR_HTTP_HEADERS_SENT"},"promise":{}} | 
8‏/5‏/2023, 11:29:54 م | ERROR | Unhandled rejection | DATA: {"reason":{"code":"ERR_HTTP_HEADERS_SENT"},"promise":{}} | 
9‏/5‏/2023, 12:21:06 ص | ERROR | Request POST received on ( Admin/addToBanner ) | DATA: {"message":"Unhandled error","error":{"errno":-4058,"code":"ENOENT","syscall":"open","path":"A:\\Final-project\\Node-Project\\src\\public\\Banner\\1683580866851-553587683.png","storageErrors":[]},"stack":"Error: ENOENT: no such file or directory, open 'A:\\Final-project\\Node-Project\\src\\public\\Banner\\1683580866851-553587683.png'"} | 
9‏/5‏/2023, 12:22:08 ص | ERROR | Request POST received on ( Admin/addToBanner ) | DATA: {"message":"Unhandled error","error":{"errno":-4058,"code":"ENOENT","syscall":"open","path":"A:\\Final-project\\Node-Project\\src\\public\\Banner\\1683580928777-802781682.png","storageErrors":[]},"stack":"Error: ENOENT: no such file or directory, open 'A:\\Final-project\\Node-Project\\src\\public\\Banner\\1683580928777-802781682.png'"} | 
9‏/5‏/2023, 12:22:17 ص | ERROR | Request POST received on ( Admin/addToBanner ) | DATA: {"message":"Unhandled error","error":{"errno":-4058,"code":"ENOENT","syscall":"open","path":"A:\\Final-project\\Node-Project\\src\\public\\Banner\\1683580937978-923819622.jpeg","storageErrors":[]},"stack":"Error: ENOENT: no such file or directory, open 'A:\\Final-project\\Node-Project\\src\\public\\Banner\\1683580937978-923819622.jpeg'"} | 
9‏/5‏/2023, 12:22:25 ص | ERROR | Request POST received on ( Admin/addToBanner ) | DATA: {"message":"Unhandled error","error":{"errno":-4058,"code":"ENOENT","syscall":"open","path":"A:\\Final-project\\Node-Project\\src\\public\\Banner\\1683580945296-775868285.jpeg","storageErrors":[]},"stack":"Error: ENOENT: no such file or directory, open 'A:\\Final-project\\Node-Project\\src\\public\\Banner\\1683580945296-775868285.jpeg'"} | 
9‏/5‏/2023, 1:22:49 ص | ERROR | Request POST received on ( Admin/addToBanner ) | DATA: {"message":"Unhandled error","error":{"errno":-4058,"code":"ENOENT","syscall":"open","path":"A:\\Final-project\\Node-Project\\src\\public\\Banner\\1683584569055-613251231.jpeg","storageErrors":[]},"stack":"Error: ENOENT: no such file or directory, open 'A:\\Final-project\\Node-Project\\src\\public\\Banner\\1683584569055-613251231.jpeg'"} | 
9‏/5‏/2023, 1:25:06 ص | ERROR | Request POST received on ( Admin/addToBanner ) | DATA: {"message":"Unhandled error","error":{"errno":-4058,"code":"ENOENT","syscall":"open","path":"A:\\Final-project\\Node-Project\\src\\public\\Banner\\1683584706146-93511861.jpeg","storageErrors":[]},"stack":"Error: ENOENT: no such file or directory, open 'A:\\Final-project\\Node-Project\\src\\public\\Banner\\1683584706146-93511861.jpeg'"} | 
9‏/5‏/2023, 1:25:34 ص | ERROR | Request POST received on ( Admin/addToBanner ) | DATA: {"message":"Unhandled error","error":{"errno":-4058,"code":"ENOENT","syscall":"open","path":"A:\\Final-project\\Node-Project\\src\\public\\Banner\\1683584734368-901322057.jpeg","storageErrors":[]},"stack":"Error: ENOENT: no such file or directory, open 'A:\\Final-project\\Node-Project\\src\\public\\Banner\\1683584734368-901322057.jpeg'"} | 
9‏/5‏/2023, 1:25:35 ص | ERROR | Request POST received on ( Admin/addToBanner ) | DATA: {"message":"Unhandled error","error":{"errno":-4058,"code":"ENOENT","syscall":"open","path":"A:\\Final-project\\Node-Project\\src\\public\\Banner\\1683584735844-348242370.jpeg","storageErrors":[]},"stack":"Error: ENOENT: no such file or directory, open 'A:\\Final-project\\Node-Project\\src\\public\\Banner\\1683584735844-348242370.jpeg'"} | 
9‏/5‏/2023, 1:39:02 ص | ERROR | Request POST received on ( Merchant/addImagesProduct/644fc3f05bf7d170a8b2da5d ) | DATA: {"message":"Unhandled error","error":{"name":"MulterError","message":"Unexpected field","code":"LIMIT_UNEXPECTED_FILE","field":"mainImage","storageErrors":[]},"stack":"MulterError: Unexpected field\n    at wrappedFileFilter (A:\\Final-project\\Node-Project\\node_modules\\multer\\index.js:40:19)\n    at Busboy.<anonymous> (A:\\Final-project\\Node-Project\\node_modules\\multer\\lib\\make-middleware.js:115:7)\n    at Busboy.emit (node:events:520:28)\n    at Busboy.emit (A:\\Final-project\\Node-Project\\node_modules\\busboy\\lib\\main.js:38:33)\n    at PartStream.<anonymous> (A:\\Final-project\\Node-Project\\node_modules\\busboy\\lib\\types\\multipart.js:213:13)\n    at PartStream.emit (node:events:520:28)\n    at HeaderParser.<anonymous> (A:\\Final-project\\Node-Project\\node_modules\\dicer\\lib\\Dicer.js:51:16)\n    at HeaderParser.emit (node:events:520:28)\n    at HeaderParser._finish (A:\\Final-project\\Node-Project\\node_modules\\dicer\\lib\\HeaderParser.js:68:8)\n    at SBMH.<anonymous> (A:\\Final-project\\Node-Project\\node_modules\\dicer\\lib\\HeaderParser.js:40:12)"} | 
